Farm_ID,Farm_Location_Lat,Farm_Location_Lon,Farm_Postcode,Farm_Street_Address,Farm_Phone_Number,Subscribed_To_Newsletter,Herd_Size,Farm_Type,Farm_Size_Acres,Biosecurity_Score,Cattle_Movement_In_Last_Year,Proximity_To_Other_Farms_Km,Land_Use_Composition_Woodland_Pct,Animal_ID,Animal_Age_Months,Breed,Sex,Origin_Type,Test_Date,Test_Result,Has_Disease_History_Farm,Avg_Rainfall_3M_Prior_MM,Avg_Temperature_3M_Prior_C,Diseased_Wildlife_Density_Score_Local,Proximity_To_Known_Diseased_Wildlife_Sett_Km,Test_Season
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_113,175,Hereford,Female,Born_On_Farm,29/08/2022,Negative,FALSE,332,11.5,Low,72.1,August
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_063,60,Charolais,Female,Born_On_Farm,18/03/2021,Negative,FALSE,228,16,Low,72.1,March
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_117,123,Charolais,Male,Born_On_Farm,17/07/2020,Negative,FALSE,129,6.2,Low,72.1,July
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_070,27,Hereford,Female,Born_On_Farm,10/08/2022,Negative,FALSE,134,11.3,Low,72.1,August
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_036,158,Limousin,Male,Born_On_Farm,31/01/2020,Negative,FALSE,130,17.9,Low,72.1,January
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_127,93,Jersey,Male,Born_On_Farm,27/08/2020,Negative,FALSE,124,13.8,Low,72.1,August
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_118,170,Charolais,Female,Born_On_Farm,12/05/2022,Negative,FALSE,105,6.4,Low,72.1,May
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_064,110,Limousin,Female,Born_On_Farm,26/04/2020,Negative,FALSE,364,7.7,Low,72.1,April
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_070,58,Jersey,Female,Born_On_Farm,25/11/2021,Negative,FALSE,133,11.4,Low,72.1,November
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_156,170,Charolais,Female,Born_On_Farm,31/05/2020,Negative,TRUE,182,14.8,Medium,7.4,May
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_232,96,Hereford,Male,Purchased_From_Other_Farm,23/01/2020,Negative,TRUE,249,16.3,Medium,7.4,January
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_171,103,Hereford,Female,Born_On_Farm,15/04/2021,Negative,TRUE,243,14.1,Medium,7.4,April
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_270,117,Angus,Female,Born_On_Farm,09/06/2022,Negative,TRUE,181,4.1,Medium,7.4,June
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_375,81,Jersey,Female,Born_On_Farm,17/03/2021,Negative,TRUE,147,7.6,Medium,7.4,March
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_183,160,Angus,Female,Born_On_Farm,02/09/2022,Negative,TRUE,227,5.7,Medium,7.4,September
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_316,158,Angus,Female,Purchased_From_Other_Farm,21/03/2021,Negative,TRUE,369,16.2,Medium,7.4,March
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_221,92,Limousin,Male,Born_On_Farm,21/09/2022,Positive,TRUE,374,17.9,Medium,7.4,September
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_264,112,Angus,Female,Purchased_From_Other_Farm,05/10/2021,Positive,TRUE,298,10.8,Medium,7.4,October
FARM_0003,54.57331906952188,-7.407705514,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_245,89,Limousin,Male,Born_On_Farm,31/12/2021,Negative,TRUE,299,12.9,Medium,7.4,December
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_355,31,Holstein,Female,Born_On_Farm,30/05/2022,Negative,FALSE,276,12.9,Medium,3.8,May
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_350,136,Jersey,Female,Born_On_Farm,02/11/2020,Positive,FALSE,360,7.2,Medium,3.8,November
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_384,59,Limousin,Female,Born_On_Farm,21/08/2022,Negative,FALSE,124,11.4,Medium,3.8,August
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_368,115,Charolais,Female,Born_On_Farm,10/05/2021,Negative,FALSE,180,8.2,Medium,3.8,May
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_051,178,Charolais,Female,Purchased_From_Other_Farm,24/02/2021,Negative,FALSE,250,15.4,Medium,3.8,February
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_159,92,Hereford,Female,Born_On_Farm,02/09/2022,Negative,FALSE,272,5.7,Medium,3.8,September
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_133,130,Jersey,Male,Born_On_Farm,12/11/2020,Negative,FALSE,134,16.4,Medium,3.8,November
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_278,51,Holstein,Male,Born_On_Farm,31/05/2022,Negative,FALSE,319,12.5,Medium,3.8,May
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_007,135,Limousin,Female,Born_On_Farm,21/02/2020,Positive,FALSE,280,7.2,Medium,3.8,February
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_016,94,Jersey,Female,Purchased_From_Other_Farm,04/11/2022,Negative,FALSE,200,12.7,Medium,3.8,November
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_433,41,Jersey,Female,Born_On_Farm,18/01/2021,Positive,FALSE,390,5.8,Medium,2.6,January
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_225,90,Charolais,Female,Purchased_From_Other_Farm,15/12/2021,Negative,FALSE,132,13,Medium,2.6,December
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_257,113,Hereford,Female,Purchased_From_Other_Farm,29/05/2021,Negative,FALSE,204,9.5,Medium,2.6,May
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_257,145,Jersey,Female,Purchased_From_Other_Farm,16/12/2021,Negative,FALSE,395,15.1,Medium,2.6,December
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_159,115,Limousin,Male,Born_On_Farm,25/04/2020,Negative,FALSE,215,9.4,Medium,2.6,April
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_061,150,Jersey,Male,Purchased_From_Other_Farm,21/05/2020,Positive,FALSE,237,7.4,Medium,2.6,May
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_100,14,Limousin,Male,Purchased_From_Other_Farm,26/02/2021,Positive,FALSE,154,8.4,Medium,2.6,February
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_325,68,Angus,Male,Born_On_Farm,01/09/2022,Negative,FALSE,230,12.3,Medium,2.6,September
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_279,26,Hereford,Female,Purchased_From_Other_Farm,15/02/2021,Negative,FALSE,337,16.1,Medium,2.6,February
FARM_0005,54.29367549,-5.931040216,BT28 3YL,121 High Street,028 3031 2677,No,489,Beef,603,1,52,1.4,15,FARM_0005_ANIMAL_264,157,Jersey,Male,Born_On_Farm,05/12/2020,Negative,FALSE,374,12.3,Medium,2.6,December
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_089,53,Jersey,Female,Born_On_Farm,28/10/2022,Negative,FALSE,206,11,Low,107.9,October
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_056,127,Jersey,Male,Born_On_Farm,28/10/2020,Negative,FALSE,168,4.4,Low,107.9,October
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_143,159,Hereford,Male,Born_On_Farm,01/05/2022,Negative,FALSE,350,17.8,Low,107.9,May
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_259,102,Holstein,Male,Born_On_Farm,12/05/2020,Negative,FALSE,333,17.4,Low,107.9,May
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_208,73,Charolais,Male,Born_On_Farm,27/03/2021,Negative,FALSE,129,15.6,Low,107.9,March
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_220,102,Angus,Male,Born_On_Farm,02/09/2021,Negative,FALSE,238,12.8,Low,107.9,September
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_202,20,Hereford,Female,Purchased_From_Other_Farm,13/02/2020,Negative,FALSE,118,14,Low,107.9,February
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_040,97,Jersey,Male,Born_On_Farm,20/07/2021,Negative,FALSE,109,12.7,Low,107.9,July
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_026,127,Holstein,Male,Born_On_Farm,02/09/2021,Negative,FALSE,164,16.1,Low,107.9,September
FARM_0006,54.866027,-7.208494,BT33 1WE,,028 3749 8007,,261,Mixed,950,4,59,3.9,1,FARM_0006_ANIMAL_198,86,Hereford,Male,Born_On_Farm,28/02/2022,Negative,FALSE,265,7.9,Low,107.9,February
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_043,109,Hereford,Male,Born_On_Farm,21/10/2021,Negative,FALSE,212,8.6,High,7.4,October
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_110,59,Charolais,Female,Purchased_From_Other_Farm,28/03/2020,Positive,FALSE,297,14.1,High,7.4,March
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_175,35,Angus,Female,Born_On_Farm,18/11/2022,Negative,FALSE,198,11.2,High,7.4,November
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_040,24,Hereford,Female,Purchased_From_Other_Farm,29/03/2021,Negative,FALSE,109,9.1,High,7.4,March
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_114,17,Jersey,Female,Purchased_From_Other_Farm,31/10/2020,Negative,FALSE,178,16.9,High,7.4,October
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_378,59,Charolais,Male,Born_On_Farm,25/03/2021,Positive,FALSE,195,4.9,High,7.4,March
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_250,154,Charolais,Female,Born_On_Farm,24/01/2021,Positive,FALSE,337,8.8,High,7.4,January
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_193,109,Holstein,Male,Purchased_From_Other_Farm,09/05/2020,Positive,FALSE,132,12.6,High,7.4,May
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_228,36,Hereford,Male,Purchased_From_Other_Farm,11/12/2020,Negative,FALSE,129,6.9,High,7.4,December
FARM_0007,54.807293,-7.205904,BT32 6RM,145 Newry Road,028 3515 1642,No,399,Dairy,565,1,57,1,19,FARM_0007_ANIMAL_339,135,Limousin,Male,Purchased_From_Other_Farm,15/03/2022,Positive,FALSE,187,16.9,High,7.4,March
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_173,60,Angus,Female,Born_On_Farm,21/11/2021,Negative,FALSE,167,9.6,Medium,85.1,November
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_167,42,Charolais,Male,Purchased_From_Other_Farm,27/08/2021,Negative,FALSE,186,10.6,Medium,85.1,August
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_126,89,Jersey,Female,Purchased_From_Other_Farm,17/12/2021,Negative,FALSE,172,12,Medium,85.1,December
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_076,76,Charolais,Male,Born_On_Farm,07/01/2021,Negative,FALSE,243,13,Medium,85.1,January
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_025,116,Hereford,Female,Born_On_Farm,29/08/2020,Positive,FALSE,332,17.2,Medium,85.1,August
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_122,129,Hereford,Male,Born_On_Farm,19/05/2022,Negative,FALSE,138,10.4,Medium,85.1,May
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_014,70,Angus,Male,Born_On_Farm,25/01/2021,Positive,FALSE,128,5.8,Medium,85.1,January
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_069,122,Angus,Male,Born_On_Farm,21/03/2022,Negative,FALSE,139,5.1,Medium,85.1,March
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_186,96,Hereford,Female,Purchased_From_Other_Farm,18/02/2022,Negative,FALSE,252,9.3,Medium,85.1,February
FARM_0008,55.045636,-6.895337,BT6 9ET,111 Antrim Road,028 6121 1435,,230,Beef,863,3,63,8.2,10,FARM_0008_ANIMAL_206,161,Angus,Male,Born_On_Farm,07/01/2020,Negative,FALSE,242,18,Medium,85.1,January
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_138,29,Jersey,Female,Purchased_From_Other_Farm,22/03/2021,Positive,TRUE,146,8.2,High,1.5,March
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_054,45,Holstein,Female,Born_On_Farm,01/08/2020,Negative,TRUE,272,11.7,High,1.5,August
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_103,86,Jersey,Male,Purchased_From_Other_Farm,04/04/2021,Negative,TRUE,343,10.1,High,1.5,April
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_023,118,Limousin,Female,Born_On_Farm,02/04/2021,Positive,TRUE,399,15.7,High,1.5,April
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_086,96,Holstein,Male,Born_On_Farm,10/11/2020,Negative,TRUE,238,5.2,High,1.5,November
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_025,78,Angus,Female,Born_On_Farm,16/06/2022,Positive,TRUE,197,15.1,High,1.5,June
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_010,99,Charolais,Male,Born_On_Farm,01/12/2021,Negative,TRUE,374,4.7,High,1.5,December
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_099,123,Limousin,Male,Born_On_Farm,13/02/2022,Negative,TRUE,163,6.3,High,1.5,February
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_085,159,Jersey,Female,Born_On_Farm,03/07/2022,Positive,TRUE,172,12.1,High,1.5,July
FARM_0009,54.33763989120177,-6.077091534,BT44 9QZ,39 Banbridge Road,,,139,Beef,625,3,132,1.3,34,FARM_0009_ANIMAL_126,78,Limousin,Male,Born_On_Farm,23/09/2021,Positive,TRUE,212,9,High,1.5,September
FARM_0010,54.34373349705877,-5.912558845,BT23 8PH,52 Main Street,028 6056 8388,No,245,Mixed,785,4,82,2.5,28,FARM_0010_ANIMAL_216,128,Holstein,Male,Purchased_From_Other_Farm,21/06/2021,Positive,TRUE,344,17.2,High,1,June
FARM_0010,54.34373349705877,-5.912558845,BT23 8PH,52 Main Street,028 6056 8388,No,245,Mixed,785,4,82,2.5,28,FARM_0010_ANIMAL_147,134,Hereford,Female,Born_On_Farm,11/07/2022,Negative,TRUE,135,6.9,High,1,July
FARM_0010,54.34373349705877,-5.912558845,BT23 8PH,52 Main Street,028 6056 8388,No,245,Mixed,785,4,82,2.5,28,FARM_0010_ANIMAL_240,61,Jersey,Male,Born_On_Farm,29/08/2020,Negative,TRUE,102,13.1,High,1,August
FARM_0010,54.34373349705877,-5.912558845,BT23 8PH,52 Main Street,028 6056 8388,No,245,Mixed,785,4,82,2.5,28,FARM_0010_ANIMAL_031,12,Holstein,Male,Born_On_Farm,05/11/2021,Positive,TRUE,380,9.8,High,1,November
